study_hours,attendance,previous_score,assignment_score,final_score
3.62,84.91,51.11,71.14,72.31
7.66,76.8,72.51,68.75,93.35
6.12,65.48,92.38,41.54,84.98
5.19,90.69,83.93,60.47,92.06
2.09,84.24,88.39,62.81,81.95
2.09,58.13,79.53,63.93,67.5
1.41,95.55,81.54,74.81,84.97
7.06,91.13,90.95,72.02,100.0
5.21,97.49,54.98,76.47,87.32
5.96,86.29,69.37,85.89,93.2
1.14,80.67,53.27,88.78,62.75
7.79,70.91,99.26,83.09,100.0
6.83,96.64,96.64,97.33,100.0
2.49,93.3,42.37,41.09,59.58
2.27,52.26,82.33,51.75,66.7
2.28,51.32,95.51,40.45,69.08
3.13,68.82,50.83,78.85,66.48
4.67,90.53,74.08,93.88,93.83
4.02,99.36,94.93,54.61,92.93
3.04,57.52,42.04,95.62,66.17
5.28,79.71,81.85,43.62,83.67
1.98,69.04,57.84,96.07,70.16
3.05,98.5,95.46,61.1,89.94
3.56,92.11,98.26,46.09,85.4
4.19,91.92,96.66,69.15,89.48
6.5,73.43,68.45,55.41,88.42
2.4,70.74,91.72,57.09,74.3
4.6,63.67,90.67,58.44,81.15
5.15,52.82,59.15,88.18,81.55
1.33,93.24,89.73,72.35,85.17
5.25,90.65,42.22,58.68,73.01
2.19,99.99,75.78,76.62,83.46
1.46,99.83,53.8,82.97,75.79
7.64,77.77,47.23,56.36,85.53
7.76,88.45,44.62,64.81,88.74
6.66,97.24,81.78,47.31,92.66
3.13,92.48,60.39,50.87,69.57
1.68,62.37,83.49,80.87,76.07
5.79,72.53,43.92,50.89,68.71
4.08,56.46,58.92,71.51,63.75
1.85,97.7,72.37,82.54,83.24
4.47,80.31,87.44,46.41,85.18
1.24,61.43,59.13,74.04,56.14
7.37,83.59,77.55,55.39,91.09
2.81,80.91,93.16,97.78,95.27
5.64,67.91,76.95,69.01,93.34
3.18,55.68,53.98,88.36,72.11
4.64,83.58,41.46,73.01,73.69
4.83,76.02,92.21,42.6,82.82
2.29,88.62,41.28,77.99,73.3
7.79,76.01,92.48,97.08,100.0
6.43,92.61,71.74,76.1,94.4
7.58,77.6,96.34,89.15,100.0
7.26,78.05,87.93,93.05,100.0
5.19,93.83,99.88,53.68,95.63
7.45,70.17,61.04,52.72,89.41
1.62,56.7,86.03,76.66,74.73
2.37,51.44,64.12,64.66,63.43
1.32,87.76,68.79,90.39,77.53
3.28,81.02,77.65,94.0,84.05
3.72,85.2,92.42,61.21,89.54
2.9,60.65,99.05,54.21,77.46
6.8,56.82,86.1,86.83,97.05
3.5,50.73,65.07,56.49,75.97
2.97,67.53,65.28,89.36,79.3
4.8,79.5,84.25,65.42,85.93
1.99,69.61,54.33,80.05,67.1
6.62,71.87,46.63,45.73,77.91
1.52,95.21,61.28,77.43,74.91
7.91,67.41,57.23,67.11,84.34
6.41,75.7,57.78,75.2,90.09
2.39,89.18,54.02,50.08,63.79
1.04,69.83,42.53,84.21,67.38
6.71,81.1,41.07,91.77,92.25
5.95,93.12,99.26,53.0,96.37
6.1,97.48,65.67,45.74,89.33
6.4,57.35,63.06,41.42,74.63
1.52,96.33,80.78,78.52,84.54
3.51,74.61,53.1,76.43,75.65
1.81,62.91,97.0,72.8,76.22
7.04,72.96,87.18,53.92,91.16
5.36,99.0,45.36,63.45,84.21
3.32,74.63,65.05,75.67,76.39
1.44,66.44,92.75,69.81,74.58
3.18,81.67,96.68,99.27,93.88
3.28,62.01,68.04,48.19,68.15
6.11,53.79,76.8,81.71,95.46
5.46,56.44,50.02,64.26,69.55
7.21,56.4,99.47,65.69,97.54
4.31,57.6,53.9,83.06,79.64
1.84,56.94,96.56,81.55,79.61
5.99,82.04,78.98,99.48,100.0
6.33,59.09,76.46,47.7,77.96
4.93,67.28,70.76,46.25,76.46
6.4,94.84,53.84,83.46,92.62
4.46,73.7,50.59,74.7,79.33
4.66,83.38,53.23,56.45,78.61
3.99,58.62,51.19,44.77,69.74
1.18,59.61,86.78,45.14,65.27
1.76,52.04,61.01,93.65,70.46
1.22,58.45,43.47,51.51,50.74
5.45,63.93,98.15,59.4,88.91
3.2,58.85,93.03,53.6,77.17
4.56,54.44,95.67,61.3,82.84
7.35,56.03,99.69,44.17,92.07
2.75,73.04,50.43,71.14,72.19
3.87,60.32,63.77,44.06,63.09
6.29,68.21,85.49,88.02,100.0
2.6,75.17,81.76,54.02,77.97
1.54,84.52,49.23,72.4,65.88
3.03,51.97,88.95,92.8,77.71
2.13,89.97,53.47,79.05,71.61
7.51,81.4,53.43,71.98,94.56
6.66,54.09,72.22,59.46,83.2
5.43,93.68,75.58,59.98,86.6
7.1,96.04,74.81,80.17,100.0
6.63,53.05,45.49,99.65,88.1
2.31,63.84,92.65,79.71,83.16
7.25,90.31,55.94,73.47,92.47
4.78,87.41,47.77,83.84,81.73
6.65,59.23,93.32,67.91,93.28
7.27,60.47,97.34,43.61,88.59
3.23,68.52,91.73,73.74,89.11
1.77,74.23,88.57,97.46,84.91
2.6,80.91,79.31,50.52,77.18
3.99,68.45,73.05,81.4,87.62
6.73,73.13,45.22,52.06,79.62
7.03,87.37,64.51,72.15,92.87
1.05,51.83,62.36,45.8,53.93
4.58,62.62,55.59,67.02,73.45
3.92,85.67,83.41,85.37,89.2
2.55,94.76,69.75,60.85,77.55
1.84,75.58,44.86,79.89,62.39
3.36,76.61,53.21,87.73,81.11
7.6,55.36,81.0,95.63,99.88
3.26,72.37,44.57,54.08,63.57
4.63,76.63,91.07,63.96,89.6
5.92,62.12,69.71,49.14,77.58
3.55,63.46,68.84,99.55,85.76
7.8,68.86,75.54,95.62,100.0
7.74,51.0,89.48,72.4,99.35
2.76,66.1,60.87,90.52,72.0
4.48,60.57,80.68,71.26,83.06
3.11,66.37,73.94,77.42,83.94
2.99,55.99,56.02,45.35,56.18
1.26,94.53,92.72,85.32,84.68
5.27,79.68,87.85,47.66,87.57
4.52,83.96,79.51,89.56,94.3
1.36,89.46,91.03,86.92,86.8
2.95,74.92,92.04,82.52,88.97
7.36,54.35,82.5,42.17,86.45
2.68,76.86,90.22,58.19,82.28
2.01,79.34,81.85,55.79,74.5
4.43,87.27,80.81,61.61,85.56
7.9,71.58,77.12,45.26,92.08
2.69,56.38,85.16,96.22,89.24
5.7,64.19,49.52,73.23,77.77
6.33,68.15,92.85,58.33,89.44
2.66,82.3,92.31,63.82,86.0
6.1,78.54,41.75,66.83,78.33
3.57,67.8,89.55,76.04,78.88
5.43,99.33,47.73,70.94,87.07
5.43,80.29,60.11,95.16,89.79
4.75,61.86,84.61,69.82,84.75
1.63,55.09,49.65,99.53,68.53
6.85,57.64,89.08,91.09,100.0
3.25,62.3,89.93,52.51,77.91
2.31,58.03,70.45,95.84,75.83
1.29,59.33,40.38,46.98,49.74
5.14,64.25,57.22,89.05,82.57
5.74,58.67,77.02,62.84,85.66
1.12,94.84,98.87,92.68,92.43
4.58,54.01,77.91,92.08,83.93
2.59,76.23,55.59,88.36,78.62
5.52,70.52,78.04,87.4,91.62
2.22,99.12,72.4,58.28,78.91
5.84,55.6,86.79,44.86,82.18
3.71,69.89,46.42,64.18,73.32
7.56,98.47,85.66,50.41,99.28
1.96,93.28,72.48,81.7,80.0
3.39,90.85,97.78,60.77,88.66
1.79,62.9,60.51,98.54,72.73
7.47,58.54,77.96,78.46,97.75
7.14,83.43,95.92,89.35,100.0
2.81,96.47,46.15,47.95,62.72
5.62,77.84,96.23,91.72,99.93
6.72,78.58,81.27,95.37,100.0
4.89,64.0,44.07,69.22,76.87
4.71,88.47,58.06,76.38,83.87
2.69,59.35,82.49,85.89,79.74
1.65,66.18,44.04,50.49,53.92
7.28,71.27,74.93,70.15,97.7
7.3,75.38,60.75,63.92,85.71
5.43,62.12,77.25,48.78,79.65
3.37,55.74,42.74,62.05,63.93
3.44,80.53,92.29,44.09,80.94
6.08,64.43,98.41,41.55,87.91
7.28,79.06,98.13,48.11,100.0
7.21,57.72,84.98,97.79,94.24
6.46,74.06,47.81,72.97,85.01
5.49,76.63,85.5,97.95,98.48
1.59,52.59,41.48,65.95,48.31
2.13,66.83,41.33,58.71,58.84
7.29,56.72,59.42,70.37,89.37
5.25,53.17,69.32,66.37,78.03
1.06,99.5,86.22,46.34,76.07
1.71,66.12,81.0,78.45,80.09
5.64,90.49,66.75,52.96,88.4
1.04,62.73,56.42,77.18,67.64
2.13,84.08,99.83,79.01,90.39
4.84,88.01,65.57,49.12,79.28
5.84,79.78,67.08,43.68,75.1
5.56,73.58,49.82,86.85,83.4
2.57,70.59,87.69,67.59,76.37
5.99,67.44,81.62,43.49,88.93
2.66,96.48,53.25,99.69,82.78
3.28,91.53,44.94,43.47,65.13
6.23,98.25,80.83,81.7,100.0
5.55,56.21,79.27,99.02,93.83
6.94,86.54,56.4,54.35,90.54
5.6,96.92,97.05,48.53,93.3
4.98,59.06,49.06,47.28,66.62
1.66,53.32,65.94,58.2,58.26
3.57,87.06,96.62,46.06,79.73
2.86,78.72,65.18,81.53,76.54
2.71,92.09,78.31,43.74,74.27
7.81,56.99,63.86,70.57,87.72
3.75,89.76,56.45,99.8,85.07
7.24,60.08,99.04,88.84,100.0
5.42,58.18,64.56,76.91,81.64
6.56,58.21,93.65,58.38,86.58
4.52,90.73,53.8,77.43,85.1
5.04,83.26,52.79,71.62,81.18
4.45,76.15,41.87,65.57,66.78
2.37,67.94,79.1,47.84,67.56
6.06,93.86,62.11,93.2,95.14
2.97,69.62,91.86,66.99,82.47
1.17,90.83,68.39,51.68,70.85
5.52,71.96,98.09,62.07,87.39
2.24,68.85,51.13,64.85,63.87
7.58,73.13,92.12,89.65,100.0
7.68,65.07,86.6,84.02,100.0
7.4,87.38,86.26,86.16,100.0
3.59,75.14,90.69,40.66,74.83
1.11,61.61,85.66,64.97,68.35
7.5,94.98,77.57,68.88,99.16
4.0,69.19,47.87,41.15,65.62
7.77,77.18,41.95,55.59,81.78
7.75,95.32,95.25,85.62,100.0
6.97,81.21,77.0,48.23,89.42
3.06,55.84,87.79,72.12,76.44
3.7,96.99,68.89,52.91,74.48
6.96,81.39,47.04,40.73,71.45
3.22,66.75,47.51,54.47,57.78
2.19,56.96,81.13,98.55,81.75
4.9,89.7,65.82,88.09,93.01
7.55,81.0,52.03,97.57,93.2
5.87,76.67,69.5,69.27,90.45
4.99,94.69,43.85,46.58,71.51
1.68,89.43,74.92,72.88,77.6
5.31,57.58,56.14,67.26,80.28
7.93,65.59,87.85,90.66,100.0
1.98,62.42,58.62,45.88,57.01
4.63,87.2,67.31,69.29,81.99
7.14,51.68,40.7,49.0,63.98
6.19,78.49,44.35,59.48,75.57
5.88,88.12,63.55,84.24,92.43
5.92,93.84,68.8,68.56,88.81
3.52,67.1,76.0,62.55,75.81
3.06,91.06,57.5,63.67,74.44
6.67,55.53,81.7,67.57,88.74
6.67,92.32,91.61,87.1,100.0
7.07,56.37,86.79,93.53,100.0
7.39,69.86,42.38,97.32,92.39
4.58,89.86,68.83,87.21,87.77
4.51,57.5,46.3,58.92,70.53
6.59,61.46,54.52,81.29,84.89
5.55,86.11,99.2,66.26,98.38
5.91,86.0,48.55,55.28,80.86
6.57,82.06,69.93,90.45,99.11
7.23,84.7,77.09,42.31,92.63
3.37,77.14,82.15,94.11,90.59
3.63,62.59,73.58,67.69,74.39
1.66,67.28,40.59,78.23,62.21
5.05,59.08,59.59,79.56,76.25
1.25,95.42,71.06,93.71,82.17
4.26,79.17,45.27,78.2,76.03
4.8,70.04,61.04,76.84,80.49
3.01,73.1,41.99,44.0,57.81
5.14,97.36,44.71,71.1,76.22
1.21,57.67,63.82,49.01,54.66
1.26,79.31,47.96,84.25,67.21
6.76,75.29,74.05,70.73,93.47
3.52,80.57,81.37,80.81,83.87
1.89,50.91,88.04,42.5,67.64
4.66,93.61,52.01,45.09,71.16
6.39,96.61,50.05,82.98,95.03
2.51,78.26,46.27,44.33,60.38
5.36,84.83,78.19,44.28,81.36
1.6,96.12,82.39,40.73,76.8
1.36,85.36,41.9,97.39,67.09
4.72,57.63,96.17,84.25,94.98
4.78,78.81,43.12,61.2,75.29
5.46,80.34,72.48,57.79,82.62
6.08,71.21,82.54,60.98,93.49
7.83,86.82,92.26,86.48,100.0
4.61,96.72,82.85,79.68,96.4
3.26,96.28,88.1,51.11,84.06
6.57,72.54,60.37,50.45,80.26
2.9,55.66,88.89,45.9,72.81
4.07,99.24,44.81,79.62,83.05
1.55,91.94,93.69,85.86,82.49
1.18,56.23,72.86,55.9,64.95
7.74,96.04,89.04,41.26,93.52
6.85,93.49,67.14,44.93,90.86
5.87,75.94,78.61,98.07,100.0
3.86,79.56,71.58,57.73,74.44
2.21,69.95,83.9,86.15,80.32
2.1,52.74,44.9,77.48,57.21
2.75,66.76,43.62,62.92,61.19
4.84,90.14,54.83,52.34,75.88
